zeroSpot     U= 0  events=3,936,934  hits= 26,220,557  neutrons=2,409,794  signal=1,449,854  M_n=0.6121  Ekin_med=1.050  R=0.36155+-0.00065
defaultSpot  U=18  events=3,606,828  hits= 24,071,731  neutrons=2,219,470  signal=1,334,886  M_n=0.6154  Ekin_med=1.051  R=0.36219+-0.00068
bigSpot      U=90  events=2,738,594  hits= 18,317,909  neutrons=1,683,663  signal=1,012,680  M_n=0.6148  Ekin_med=1.058  R=0.37179+-0.00080

=== U_sym response vs zeroSpot (U=0) ===
observable                                          U=18                  U=90
------------------------------------------------------------------------------
M_n  (all neutrons/event)                +0.00325 (5.7s)       +0.00269 (4.4s)
M_sig (signal neutrons/event)            +0.00183 (4.1s)       +0.00151 (3.2s)
R = N(E>2)/N(E<1)                        +0.00064 (0.7s)      +0.01024 (10.0s)

=== neutron yield per event, Ekin-differential ===
Ekin [GeV]        Y(U=0)   Y(U=18)   Y(U=90)     90/0   sigma
[0,0.25)          0.1257    0.1259    0.1263   1.0046     2.1
[0.25,0.5)        0.0544    0.0547    0.0547   1.0043     1.3
[0.5,0.75)        0.0543    0.0541    0.0536   0.9884     3.5
[0.75,1)          0.0594    0.0603    0.0591   0.9950     1.6
[1,1.5)           0.1167    0.1173    0.1158   0.9926     3.2
[1.5,2)           0.0954    0.0962    0.0961   1.0073     2.8
[2,3)             0.0900    0.0899    0.0918   1.0193     7.3
[3,5)             0.0160    0.0168    0.0173   1.0759    11.6
